id	formula_id	formula	n_NO3	n_NO3_mono	n_NO3_bi	n_MeOH	CN	charge	geometry	isomerid	msmiles
40	11	1Zn_2NO3_3MeOH	2	2	0	3	5	0	5_trigonal_bipyramidal	7	[Zn+2]|C[OH:1]|[O-:2][N+](=O)[O-]|C[OH:3]|C[OH:4]|[O-:5][N+](=O)[O-]|5_trigonal_bipyramidal
41	11	1Zn_2NO3_3MeOH	2	2	0	3	5	0	5_trigonal_bipyramidal	8	[Zn+2]|[O-:1][N+](=O)[O-]|[O-:2][N+](=O)[O-]|C[OH:3]|C[OH:4]|C[OH:5]|5_trigonal_bipyramidal
42	12	1Zn_2NO3_4MeOH	2	2	0	4	6	0	6_octahedral	1	[Zn+2]|C[OH:1]|C[OH:2]|C[OH:3]|C[OH:4]|[O-:5][N+](=O)[O-]|[O-:6][N+](=O)[O-]|6_octahedral
43	12	1Zn_2NO3_4MeOH	2	2	0	4	6	0	6_octahedral	2	[Zn+2]|C[OH:1]|C[OH:2]|C[OH:3]|[O-:4][N+](=O)[O-]|C[OH:5]|[O-:6][N+](=O)[O-]|6_octahedral
44	13	1Zn_3NO3_0MeOH	3	0	3	0	6	-1	6_octahedral	1	[Zn+2]|[O-:1][N+](=O)[O-:3]|[O-:2][N+](=O)[O-:5]|[O-:4][N+](=O)[O-:6]|6_octahedral
45	13	1Zn_3NO3_0MeOH	3	1	2	0	5	-1	5_square_pyramidal	2	[Zn+2]|[O-:1][N+](=O)[O-]|[O-:2][N+](=O)[O-:3]|[O-:4][N+](=O)[O-:5]|5_square_pyramidal
46	13	1Zn_3NO3_0MeOH	3	1	2	0	5	-1	5_square_pyramidal	3	[Zn+2]|[O-:1][N+](=O)[O-:3]|[O-:2][N+](=O)[O-:4]|[O-:5][N+](=O)[O-]|5_square_pyramidal
47	13	1Zn_3NO3_0MeOH	3	1	2	0	5	-1	5_trigonal_bipyramidal	4	[Zn+2]|[O-:1][N+](=O)[O-]|[O-:2][N+](=O)[O-:3]|[O-:4][N+](=O)[O-:5]|5_trigonal_bipyramidal
48	13	1Zn_3NO3_0MeOH	3	1	2	0	5	-1	5_trigonal_bipyramidal	5	[Zn+2]|[O-:1][N+](=O)[O-:4]|[O-:2][N+](=O)[O-:5]|[O-:3][N+](=O)[O-]|5_trigonal_bipyramidal
49	14	1Zn_3NO3_1MeOH	3	1	2	1	6	-1	6_octahedral	1	[Zn+2]|C[OH:1]|[O-:2][N+](=O)[O-]|[O-:3][N+](=O)[O-:5]|[O-:4][N+](=O)[O-:6]|6_octahedral
50	14	1Zn_3NO3_1MeOH	3	1	2	1	6	-1	6_octahedral	2	[Zn+2]|C[OH:1]|[O-:2][N+](=O)[O-:5]|[O-:3][N+](=O)[O-]|[O-:4][N+](=O)[O-:6]|6_octahedral
51	13	1Zn_3NO3_0MeOH	3	2	1	0	4	-1	4_tetrahedral	6	[Zn+2]|[O-:1][N+](=O)[O-]|[O-:2][N+](=O)[O-]|[O-:3][N+](=O)[O-:4]|4_tetrahedral
52	14	1Zn_3NO3_1MeOH	3	2	1	1	5	-1	5_square_pyramidal	3	[Zn+2]|C[OH:1]|[O-:2][N+](=O)[O-]|[O-:3][N+](=O)[O-]|[O-:4][N+](=O)[O-:5]|5_square_pyramidal
53	14	1Zn_3NO3_1MeOH	3	2	1	1	5	-1	5_square_pyramidal	4	[Zn+2]|C[OH:1]|[O-:2][N+](=O)[O-:5]|[O-:3][N+](=O)[O-]|[O-:4][N+](=O)[O-]|5_square_pyramidal
54	14	1Zn_3NO3_1MeOH	3	2	1	1	5	-1	5_square_pyramidal	5	[Zn+2]|C[OH:1]|[O-:2][N+](=O)[O-:4]|[O-:3][N+](=O)[O-]|[O-:5][N+](=O)[O-]|5_square_pyramidal
55	14	1Zn_3NO3_1MeOH	3	2	1	1	5	-1	5_square_pyramidal	6	[Zn+2]|[O-:1][N+](=O)[O-]|[O-:2][N+](=O)[O-:4]|[O-:3][N+](=O)[O-]|C[OH:5]|5_square_pyramidal
56	14	1Zn_3NO3_1MeOH	3	2	1	1	5	-1	5_trigonal_bipyramidal	7	[Zn+2]|C[OH:1]|[O-:2][N+](=O)[O-]|[O-:3][N+](=O)[O-]|[O-:4][N+](=O)[O-:5]|5_trigonal_bipyramidal
57	14	1Zn_3NO3_1MeOH	3	2	1	1	5	-1	5_trigonal_bipyramidal	8	[Zn+2]|C[OH:1]|[O-:2][N+](=O)[O-:5]|[O-:3][N+](=O)[O-]|[O-:4][N+](=O)[O-]|5_trigonal_bipyramidal
58	14	1Zn_3NO3_1MeOH	3	2	1	1	5	-1	5_trigonal_bipyramidal	9	[Zn+2]|[O-:1][N+](=O)[O-]|[O-:2][N+](=O)[O-]|C[OH:3]|[O-:4][N+](=O)[O-:5]|5_trigonal_bipyramidal
59	14	1Zn_3NO3_1MeOH	3	2	1	1	5	-1	5_trigonal_bipyramidal	10	[Zn+2]|[O-:1][N+](=O)[O-]|[O-:2][N+](=O)[O-:5]|C[OH:3]|[O-:4][N+](=O)[O-]|5_trigonal_bipyramidal
60	15	1Zn_3NO3_2MeOH	3	2	1	2	6	-1	6_octahedral	1	[Zn+2]|C[OH:1]|C[OH:2]|[O-:3][N+](=O)[O-]|[O-:4][N+](=O)[O-:6]|[O-:5][N+](=O)[O-]|6_octahedral
61	15	1Zn_3NO3_2MeOH	3	2	1	2	6	-1	6_octahedral	2	[Zn+2]|C[OH:1]|[O-:2][N+](=O)[O-]|C[OH:3]|[O-:4][N+](=O)[O-:6]|[O-:5][N+](=O)[O-]|6_octahedral
62	15	1Zn_3NO3_2MeOH	3	2	1	2	6	-1	6_octahedral	3	[Zn+2]|C[OH:1]|[O-:2][N+](=O)[O-:4]|C[OH:3]|[O-:5][N+](=O)[O-]|[O-:6][N+](=O)[O-]|6_octahedral
63	14	1Zn_3NO3_1MeOH	3	3	0	1	4	-1	4_tetrahedral	11	[Zn+2]|C[OH:1]|[O-:2][N+](=O)[O-]|[O-:3][N+](=O)[O-]|[O-:4][N+](=O)[O-]|4_tetrahedral
64	15	1Zn_3NO3_2MeOH	3	3	0	2	5	-1	5_square_pyramidal	4	[Zn+2]|C[OH:1]|C[OH:2]|[O-:3][N+](=O)[O-]|[O-:4][N+](=O)[O-]|[O-:5][N+](=O)[O-]|5_square_pyramidal
65	15	1Zn_3NO3_2MeOH	3	3	0	2	5	-1	5_square_pyramidal	5	[Zn+2]|C[OH:1]|[O-:2][N+](=O)[O-]|C[OH:3]|[O-:4][N+](=O)[O-]|[O-:5][N+](=O)[O-]|5_square_pyramidal
66	15	1Zn_3NO3_2MeOH	3	3	0	2	5	-1	5_square_pyramidal	6	[Zn+2]|C[OH:1]|[O-:2][N+](=O)[O-]|[O-:3][N+](=O)[O-]|[O-:4][N+](=O)[O-]|C[OH:5]|5_square_pyramidal
67	15	1Zn_3NO3_2MeOH	3	3	0	2	5	-1	5_trigonal_bipyramidal	7	[Zn+2]|C[OH:1]|C[OH:2]|[O-:3][N+](=O)[O-]|[O-:4][N+](=O)[O-]|[O-:5][N+](=O)[O-]|5_trigonal_bipyramidal
68	15	1Zn_3NO3_2MeOH	3	3	0	2	5	-1	5_trigonal_bipyramidal	8	[Zn+2]|C[OH:1]|[O-:2][N+](=O)[O-]|C[OH:3]|[O-:4][N+](=O)[O-]|[O-:5][N+](=O)[O-]|5_trigonal_bipyramidal
69	15	1Zn_3NO3_2MeOH	3	3	0	2	5	-1	5_trigonal_bipyramidal	9	[Zn+2]|[O-:1][N+](=O)[O-]|[O-:2][N+](=O)[O-]|C[OH:3]|C[OH:4]|[O-:5][N+](=O)[O-]|5_trigonal_bipyramidal
70	16	1Zn_3NO3_3MeOH	3	3	0	3	6	-1	6_octahedral	1	[Zn+2]|C[OH:1]|C[OH:2]|C[OH:3]|[O-:4][N+](=O)[O-]|[O-:5][N+](=O)[O-]|[O-:6][N+](=O)[O-]|6_octahedral
