eval,key,objective,RMSE,diff_mean,diff_std,pearson_r,slope,slope_error,intercept,elapsed_s,D_H,D_C,D_N,D_O,Q_H,Q_C,Q_N,Q_O,error
11,2edb95d5eb23,0.05428143172812494,0.4954194090379602,-0.35595082141681156,0.347267485902758,0.9877976824246006,0.9457185682718751,0.05428143172812494,-0.47706348856124503,0.5592973232269287,2.4796734531105415,0.8,0.6,0.2,1.0,2.6,3.4,3.0,
12,e64690882c17,0.05428143172812494,0.4954194090379602,-0.35595082141681156,0.347267485902758,0.9877976824246006,0.9457185682718751,0.05428143172812494,-0.47706348856124503,0.5629374980926514,2.487437503148396,0.8,0.6,0.2,1.0,2.6,3.4,3.0,
13,677637e3dcf8,0.05428143172812494,0.4954194090379602,-0.35595082141681156,0.347267485902758,0.9877976824246006,0.9457185682718751,0.05428143172812494,-0.47706348856124503,0.5617060661315918,2.4922359499621454,0.8,0.6,0.2,1.0,2.6,3.4,3.0,
14,390f910a1ce0,0.05428143172812494,0.4954194090379602,-0.35595082141681156,0.347267485902758,0.9877976824246006,0.9457185682718751,0.05428143172812494,-0.47706348856124503,0.5536770820617676,2.4952015531862513,0.8,0.6,0.2,1.0,2.6,3.4,3.0,
15,4de8e8b1dee0,0.05428143172812494,0.4954194090379602,-0.35595082141681156,0.347267485902758,0.9877976824246006,0.9457185682718751,0.05428143172812494,-0.47706348856124503,0.5524065494537354,2.4970343967758946,0.8,0.6,0.2,1.0,2.6,3.4,3.0,
16,795d60f7b895,0.05428143172812494,0.4954194090379602,-0.35595082141681156,0.347267485902758,0.9877976824246006,0.9457185682718751,0.05428143172812494,-0.47706348856124503,0.560659646987915,2.4981671564103562,0.8,0.6,0.2,1.0,2.6,3.4,3.0,
17,0a47f23a0872,0.05428143172812494,0.4954194090379602,-0.35595082141681156,0.347267485902758,0.9877976824246006,0.9457185682718751,0.05428143172812494,-0.47706348856124503,0.5550310611724854,2.498867240365538,0.8,0.6,0.2,1.0,2.6,3.4,3.0,
18,cc4a02a9ff48,0.05428143172812494,0.4954194090379602,-0.35595082141681156,0.347267485902758,0.9877976824246006,0.9457185682718751,0.05428143172812494,-0.47706348856124503,0.5561501979827881,2.4992999160448184,0.8,0.6,0.2,1.0,2.6,3.4,3.0,
19,b27159f1ecdf,0.05428143172812494,0.4954194090379602,-0.35595082141681156,0.347267485902758,0.9877976824246006,0.9457185682718751,0.05428143172812494,-0.47706348856124503,0.5593466758728027,2.4996332716163634,0.8,0.6,0.2,1.0,2.6,3.4,3.0,
20,d589807b84b2,0.05888277615198889,0.5007865812491022,-0.3259962434816556,0.3831079155586385,0.9850015785167946,0.9411172238480111,0.05888277615198889,-0.4573754249364615,0.5592012405395508,2.4996332716163634,0.9549150281252627,0.6,0.2,1.0,2.6,3.4,3.0,
21,56f15b8b80c1,0.08649810154540938,0.592573047773591,-0.199194712832497,0.5624330295726327,0.966653832550227,0.9135018984545906,0.08649810154540938,-0.3921891760877202,0.5568318367004395,2.4996332716163634,1.5450849718747368,0.6,0.2,1.0,2.6,3.4,3.0,
22,f4c5b896fd39,0.049937836936362334,0.4990233110975709,-0.393520782890854,0.30925231909407086,0.9904582441734674,0.9500621630636377,0.049937836936362334,-0.504942026403356,0.6421668529510498,2.4996332716163634,0.5901699437494743,0.6,0.2,1.0,2.6,3.4,3.0,
23,d4ca42b4c42b,0.047482579105666445,0.5237973916178117,-0.4466636788389982,0.2757260941489392,0.9925780776350588,0.9525174208943336,0.047482579105666445,-0.5526067539440747,0.5664258003234863,2.4996332716163634,0.24672541942878268,0.6,0.2,1.0,2.6,3.4,3.0,
24,42504f6badf4,0.04747204534716343,0.5213799015566335,-0.44301766440422935,0.27704362247461145,0.9924957638246957,0.9525279546528366,0.04747204534716343,-0.5489372365996235,0.577498197555542,2.4996332716163634,0.2727549038856343,0.6,0.2,1.0,2.6,3.4,3.0,
25,37f4c1c6bc7c,0.04747162600890331,0.5217945142306236,-0.4436542302872842,0.2768017266730898,0.992510820149204,0.9525283739910967,0.04747162600890331,-0.549572866855641,0.5758383274078369,2.4996332716163634,0.2682429412521353,0.6,0.2,1.0,2.6,3.4,3.0,
26,2e74b74887da,0.0474716231037009,0.5217638210192443,-0.4436072723058317,0.2768194000982639,0.9925097193311416,0.9525283768962991,0.0474716231037009,-0.5495259023921052,0.5761983394622803,2.4996332716163634,0.2685762824727005,0.6,0.2,1.0,2.6,3.4,3.0,
27,eeb908f0311e,0.04747162614309941,0.5217331238878692,-0.44356028439600736,0.2768371089603421,0.992508616450875,0.9525283738569006,0.04747162614309941,-0.5494789212637827,0.6278748512268066,2.4996332716163634,0.2689096236883214,0.6,0.2,1.0,2.6,3.4,3.0,
28,d716eae88243,0.042024201635288305,0.6567472908275035,-0.5597167790820058,0.34623462351950773,0.9894563853654799,1.0420242016352883,0.042024201635288305,-0.4659524294208308,0.5888233184814453,2.4996332716163634,0.2685762824727005,0.9549150281252627,0.2,1.0,2.6,3.4,3.0,
29,995dcbe23e2e,0.21061071184080515,1.055189860361427,-0.7221300168697449,0.7753729164231491,0.9734068918546634,1.2106107118408052,0.21061071184080515,-0.25221564231924926,0.5801675319671631,2.4996332716163634,0.2685762824727005,1.5450849718747368,0.2,1.0,2.6,3.4,3.0,
30,7d8ba5334d65,0.04980672469548497,0.5196337652015032,-0.44020704078096967,0.27825925767907195,0.9925059093477702,0.950193275304515,0.04980672469548497,-0.5513357468145883,0.5827758312225342,2.4996332716163634,0.2685762824727005,0.5901699437494743,0.2,1.0,2.6,3.4,3.0,
31,9cba1d9a5b51,0.003205936661123898,0.5871669389184448,-0.5125358438884432,0.28871161778849436,0.9914690244569639,1.003205936661124,0.003205936661123898,-0.5053827617503471,0.5729649066925049,2.4996332716163634,0.2685762824727005,0.8057269782274554,0.2,1.0,2.6,3.4,3.0,
32,c2065c1a2e92,0.0031366844295475094,0.5772010719493987,-0.5043887020646823,0.28281377637246785,0.9917065140428671,0.9968633155704525,0.0031366844295475094,-0.5113872687044818,0.5653352737426758,2.4996332716163634,0.2685762824727005,0.7807108049341758,0.2,1.0,2.6,3.4,3.0,
33,f1d878d02063,0.0002089239668412457,0.5817460040944533,-0.5081655107134696,0.2853932253016455,0.9916003534535541,0.9997910760331588,0.0002089239668412457,-0.5086316616245462,0.5731637477874756,2.4996332716163634,0.2685762824727005,0.7922822254487739,0.2,1.0,2.6,3.4,3.0,
34,acd3e660d1c3,1.0081481031987138e-05,0.5820898281116129,-0.5084469187847788,0.28559612600233497,0.9915921723267082,1.000010081481032,1.0081481031987138e-05,-0.5084244249960641,0.5617225170135498,2.4996332716163634,0.2685762824727005,0.7931461368949729,0.2,1.0,2.6,3.4,3.0,
35,7c55a667d32f,0.0012293359478876553,0.584013612996978,-0.5100107071494578,0.28675075248689147,0.9915460175662713,1.0012293359478877,0.0012293359478876553,-0.5072678142167356,0.5581541061401367,2.4996332716163634,0.2685762824727005,0.7979515906769117,0.2,1.0,2.6,3.4,3.0,
36,2d562ef5aef0,0.0002424497070432352,0.5824552195901009,-0.5087453323631961,0.2858129175515456,0.9915834550379441,1.0002424497070432,0.0002424497070432352,-0.5082043788596958,0.6120254993438721,2.4996332716163634,0.2685762824727005,0.7940625203836198,0.2,1.0,2.6,3.4,3.0,
37,ca5156fe51e0,7.442793341183584e-05,0.5819570941160147,-0.5083383528886264,0.2855176656733079,0.9915953333428158,0.9999255720665882,7.442793341183584e-05,-0.5085044164068258,0.6273093223571777,2.4996332716163634,0.2685762824727005,0.7928128006968194,0.2,1.0,2.6,3.4,3.0,
38,0dafd01c305e,9.883162521462374e-05,0.5822293096563721,-0.5085609082950974,0.2856787463793761,0.9915888471866513,1.0000988316252146,9.883162521462374e-05,-0.5083403952882218,0.5716829299926758,2.4996332716163634,0.2685762824727005,0.7934961642409069,0.2,1.0,2.6,3.4,3.0,
39,c42dcfcb48dc,0.23771368968533602,1.1872511812587672,-0.9748970308854176,0.6828727751099096,0.9869258639761578,1.237713689685336,0.23771368968533602,-0.44451052378785755,0.5662624835968018,2.4996332716163634,0.2685762824727005,0.7931461368949729,0.9549150281252627,1.0,2.6,3.4,3.0,
40,607e049543bc,0.4353109031936031,1.7583259228875168,-1.3283434769738365,1.1610130798961351,0.9784033313420026,1.435310903193603,0.4353109031936031,-0.357078297623158,0.5689620971679688,2.4996332716163634,0.2685762824727005,0.7931461368949729,1.545084971874737,1.0,2.6,3.4,3.0,
41,fe07e1c6386e,0.11917368831442876,0.8590175065071325,-0.7477174802708987,0.42617350856743796,0.9906637233548677,1.1191736883144288,0.11917368831442876,-0.4818172859375723,0.5857579708099365,2.4996332716163634,0.2685762824727005,0.7931461368949729,0.5901699437494743,1.0,2.6,3.4,3.0,
42,2fb6209cccd3,0.049128230658938676,0.6845196346199084,-0.6083969492914588,0.3161615080675299,0.9917194390269012,1.0491282306589387,0.049128230658938676,-0.49878209836062193,0.5781371593475342,2.4996332716163634,0.2685762824727005,0.7931461368949729,0.3647450843757887,1.0,2.6,3.4,3.0,
43,70d95760f959,0.00746369398121538,0.5960761984986722,-0.5237350344337699,0.28683480459179417,0.9916702197646335,1.0074636939812154,0.00746369398121538,-0.5070820491303918,0.5717933177947998,2.4996332716163634,0.2685762824727005,0.7931461368949729,0.22542485937368567,1.0,2.6,3.4,3.0,
44,36f7c1a1d90f,0.017581534693229095,0.5518661610803578,-0.47219167075371665,0.28786481142589493,0.991311232240944,0.9824184653067709,0.017581534693229095,-0.5114195704497767,0.5742568969726562,2.4996332716163634,0.2685762824727005,0.7931461368949729,0.1393202250021031,1.0,2.6,3.4,3.0,
45,8b74d6cf1b3f,0.004157428484030001,0.5897918267366024,-0.5169589592984726,0.2861246768131642,0.9916384642642934,1.00415742848403,0.004157428484030001,-0.5076829097151649,0.5690395832061768,2.4996332716163634,0.2685762824727005,0.7931461368949729,0.2141671307201462,1.0,2.6,3.4,3.0,
46,26ebd16d91a6,0.0020140513902540125,0.5784065407843755,-0.5042877309629553,0.28548535162330335,0.9915669128390089,0.997985948609746,0.0020140513902540125,-0.5087814800752004,0.5778982639312744,2.4996332716163634,0.2685762824727005,0.7931461368949729,0.19306696871982645,1.0,2.6,3.4,3.0,
47,222af6d7f9e3,0.0014319421073138994,0.5794606151420811,-0.5054841830037624,0.28550729084935245,0.9915743588301518,0.9985680578926861,0.0014319421073138994,-0.50867913056303,0.5673007965087891,2.4996332716163634,0.2685762824727005,0.7931461368949729,0.19506207292060848,1.0,2.6,3.4,3.0,
48,fb70bc1e5ffd,0.0003462206246769295,0.582706365904744,-0.5091373066389027,0.28562388595340277,0.9915961962204037,1.000346220624677,0.0003462206246769295,-0.5083648195850433,0.562608003616333,2.4996332716163634,0.2685762824727005,0.7931461368949729,0.20115014672246834,1.0,2.6,3.4,3.0,
49,4c6457e70a3c,0.001800478853952292,0.5853895134285784,-0.512123166626829,0.2857746708880939,0.991613049185167,1.0018004788539523,0.001800478853952292,-0.5081059403084185,0.5667135715484619,2.4996332716163634,0.2685762824727005,0.7931461368949729,0.2061221921785678,1.0,2.6,3.4,3.0,
50,4947a0b55a11,6.87466497566458e-05,0.5821973586930717,-0.5085674469431319,0.2856007802814177,0.9915928780087582,1.0000687466497566,6.87466497566458e-05,-0.5084140594983991,0.5744800567626953,2.4996332716163634,0.2685762824727005,0.7931461368949729,0.20020075726136474,1.0,2.6,3.4,3.0,
51,dbaabb7ca7a5,0.00025879388875849063,0.5815976695203021,-0.5078946312848535,0.2855758443950764,0.9915889184875907,0.9997412061112415,0.00025879388875849063,-0.5084720519075304,0.6101715564727783,2.4996332716163634,0.2685762824727005,0.7931461368949729,0.19907976945557973,1.0,2.6,3.4,3.0,
52,8e66f10c491a,2.8660220512954915e-05,0.5820188748550479,-0.5083673602375905,0.2855931014085801,0.9915917052315643,0.999971339779487,2.8660220512954915e-05,-0.5084313068881647,0.5849766731262207,2.4996332716163634,0.2685762824727005,0.7931461368949729,0.1998674239250537,1.0,2.6,3.4,3.0,
53,9b0a3d05f987,0.00012605710797730652,0.5818405394467189,-0.5081673034594436,0.2855856462904457,0.9915905285529267,0.9998739428920227,0.00012605710797730652,-0.5084485619317003,0.5848243236541748,2.4996332716163634,0.2685762824727005,0.7931461368949729,0.19953409058975394,1.0,2.6,3.4,3.0,
54,2a8322368f3e,2.8660220512954915e-05,0.5820188748550479,-0.5083673602375905,0.2855931014085801,0.9915917052315643,0.999971339779487,2.8660220512954915e-05,-0.5084313068881647,0.5701689720153809,2.4996332716163634,0.2685762824727005,0.7931461368949729,0.1998674239250537,1.5278640450004204,2.6,3.4,3.0,
55,6a7f4888c6af,2.8660220512954915e-05,0.5820188748550479,-0.5083673602375905,0.2855931014085801,0.9915917052315643,0.999971339779487,2.8660220512954915e-05,-0.5084313068881647,0.5745303630828857,2.4996332716163634,0.2685762824727005,0.7931461368949729,0.1998674239250537,2.472135954999579,2.6,3.4,3.0,
56,b76f88165676,2.8660220512954915e-05,0.5820188748550479,-0.5083673602375905,0.2855931014085801,0.9915917052315643,0.999971339779487,2.8660220512954915e-05,-0.5084313068881647,0.5704526901245117,2.4996332716163634,0.2685762824727005,0.7931461368949729,0.1998674239250537,3.055728090000841,2.6,3.4,3.0,
57,ae2234762803,2.8660220512954915e-05,0.5820188748550479,-0.5083673602375905,0.2855931014085801,0.9915917052315643,0.999971339779487,2.8660220512954915e-05,-0.5084313068881647,0.5741415023803711,2.4996332716163634,0.2685762824727005,0.7931461368949729,0.1998674239250537,3.416407864998738,2.6,3.4,3.0,
58,b8e5c103eb18,2.8660220512954915e-05,0.5820188748550479,-0.5083673602375905,0.2855931014085801,0.9915917052315643,0.999971339779487,2.8660220512954915e-05,-0.5084313068881647,0.5682661533355713,2.4996332716163634,0.2685762824727005,0.7931461368949729,0.1998674239250537,3.639320225002103,2.6,3.4,3.0,
59,51cdec83d66a,2.8660220512954915e-05,0.5820188748550479,-0.5083673602375905,0.2855931014085801,0.9915917052315643,0.999971339779487,2.8660220512954915e-05,-0.5084313068881647,0.5643987655639648,2.4996332716163634,0.2685762824727005,0.7931461368949729,0.1998674239250537,3.777087639996635,2.6,3.4,3.0,
60,9aa4d322d0e1,2.8660220512954915e-05,0.5820188748550479,-0.5083673602375905,0.2855931014085801,0.9915917052315643,0.999971339779487,2.8660220512954915e-05,-0.5084313068881647,0.570183277130127,2.4996332716163634,0.2685762824727005,0.7931461368949729,0.1998674239250537,3.8622325850054677,2.6,3.4,3.0,
61,bc7c9e2d6ee1,2.8660220512954915e-05,0.5820188748550479,-0.5083673602375905,0.2855931014085801,0.9915917052315643,0.999971339779487,2.8660220512954915e-05,-0.5084313068881647,0.566993236541748,2.4996332716163634,0.2685762824727005,0.7931461368949729,0.1998674239250537,3.914855054991167,2.6,3.4,3.0,
