structure,n_imzw,variant,n_wat,monomer_index,monomer_species,contact_class,contact_type,contact_detail,contact_distance_A,contact_angle_deg,contact_angle_atoms,contact_matched,contact_status,run0,run8,run102,run110,run110.mmsolvent
IMZW7_1_WAT4,7,1,4,0,ImH,CH...O(C3),CH...O,H7...O,3.061693172678151,111.27445013001314,C3-H7-O,CH...O(C3);OH...pi(C3);OH...pi(N9),ok,0.4411999999999998,-0.9117999999998574,0.30859244501334615,-0.4131999999999607,-0.4131999999999607
IMZW7_1_WAT4,7,1,4,1,Wat,CH...O(C3),CH...O,H7...O,3.061693172678151,111.27445013001314,C3-H7-O,CH...O(C3);OH...pi(C3);OH...pi(N9),ok,-1.6905999999999999,0.358600000000024,0.17595999249897432,0.5244999999999891,-1.6905999999999999
IMZW7_1_WAT5,7,1,5,0,ImH,OH...pi(N9),OH...pi,H2...N9,3.2191963801267236,97.06050490844288,O-H2-N9,OH...pi(N9),ok,0.4411999999999998,-0.9117999999998574,0.30859244748717174,-0.4131999999999607,-0.4131999999999607
IMZW7_1_WAT5,7,1,5,1,Wat,OH...pi(N9),OH...pi,H2...N9,3.2191963801267236,97.06050490844288,O-H2-N9,OH...pi(N9),ok,-2.4667000000000003,0.39829999999983556,0.2557704651771928,0.5036000000000058,-2.4667000000000003
IMZW7_1_WAT6,7,1,6,0,ImH,OH...pi(C1),OH...pi,H2...C1,2.526980653743317,152.78202213358557,O-H2-C1,OH...pi(C1);OH...pi(C2);OH...pi(N9);OH...pi(C3);OH...pi(C3),ok,0.4411999999999998,-0.9117999999998574,0.30859244748717174,-0.4131999999999607,-0.4131999999999607
IMZW7_1_WAT6,7,1,6,1,Wat,OH...pi(C1),OH...pi,H2...C1,2.526980653743317,152.78202213358557,O-H2-C1,OH...pi(C1);OH...pi(C2);OH...pi(N9);OH...pi(C3);OH...pi(C3),ok,-1.5884999999999998,0.2853999999997541,0.15624130608921405,0.4090000000001055,-1.5884999999999998
IMZW7_1_WAT7,7,1,7,0,ImH,CH...O(C3),CH...O,H7...O,2.867199583066899,126.16216407440145,C3-H7-O,CH...O(C3);OH...pi(C3),ok,0.4411999999999998,-0.9117999999998574,0.30859244623570703,-0.4131999999999607,-0.4131999999999607
IMZW7_1_WAT7,7,1,7,1,Wat,CH...O(C3),CH...O,H7...O,2.867199583066899,126.16216407440145,C3-H7-O,CH...O(C3);OH...pi(C3),ok,-1.2648000000000001,0.3405999999999949,0.2011955997440964,0.4720999999999549,-1.2648000000000001
IMZW8_1_WAT1,8,1,1,0,ImH,CH...O(C3),CH...O,H7...O,3.1270128107978707,111.70501671216958,C3-H7-O,CH...O(C3);OH...pi(C3),ok,0.25329999999999986,-0.7164999999995416,0.2220068843162153,-0.3166000000001077,-0.3166000000001077
IMZW8_1_WAT1,8,1,1,1,Wat,CH...O(C3),CH...O,H7...O,3.1270128107978707,111.70501671216958,C3-H7-O,CH...O(C3);OH...pi(C3),ok,-1.9336000000000002,0.3407999999999447,0.18209551344625652,0.4938999999999396,-1.9336000000000002
IMZW8_1_WAT2,8,1,2,0,ImH,CH...O(C3),CH...O,H7...O,3.00695569122942,158.5508550839731,C3-H7-O,CH...O(C3),ok,0.25329999999999986,-0.7164999999995416,0.22200688367593102,-0.3166000000001077,-0.3166000000001077
IMZW8_1_WAT2,8,1,2,1,Wat,CH...O(C3),CH...O,H7...O,3.00695569122942,158.5508550839731,C3-H7-O,CH...O(C3),ok,-2.9168000000000003,0.43240000000014334,0.3206320469689672,0.5223000000000866,-2.9168000000000003
IMZW8_1_WAT3,8,1,3,0,ImH,CH...O(C3),CH...O,H7...O,2.793464771822441,111.25960562789872,C3-H7-O,CH...O(C3);OH...pi(C3),ok,0.25329999999999986,-0.7164999999995416,0.22200688053271733,-0.3166000000001077,-0.3166000000001077
