structure,contact_class,base_water_q,slope_water_q,delta_water_q,base_imh_q,slope_imh_q,delta_total_bind,delta_multipole,delta_monopole_dipole,delta_scc
IMZW6_1_WAT1,OH...N3,-0.017576140000000018,-0.017860630000000044,-0.0002844900000000261,0.01757614000000003,0.01786062000000003,-0.4692662056755532,-0.4606557716758286,-0.30650938714212284,0.18171670353709468
IMZW6_1_WAT2,OH...pi(C1),-0.006303470000000033,-0.00633870999999997,-3.523999999993643e-05,0.006303480000000014,0.006338719999999999,-0.06139621720282218,-0.11338820092151897,-0.1190084895259623,0.105389776912273
IMZW6_1_WAT3,CH...O(C3),0.0003551500000000263,0.000347960000000036,-7.18999999999026e-06,-0.0003551500000000263,-0.0003479500000000066,-0.05502756079990734,-0.0865939228847078,-0.1259146705446586,0.04802141752163108
IMZW6_1_WAT4,NH...O,0.02257439,0.022381049999999958,-0.0001933400000000418,-0.02257439000000002,-0.022381040000000026,0.13562606991563042,0.14880445913195173,-0.008503945641555488,-0.10133104563402262
IMZW6_1_WAT5,CH...O(C3),6.850000000002687e-06,-2.599999999741698e-07,-7.109999999976857e-06,-6.850000000030443e-06,2.500000000280056e-07,-0.1737161459959926,-0.1861798019204146,-0.1433031463237892,0.09219770798998711
IMZW6_1_WAT6,OH...pi(N9),-1.1749999999921545e-05,-1.2480000000036906e-05,-7.300000001153606e-07,1.1760000000027304e-05,1.248000000000915e-05,-0.05168858288747513,-0.05310261273690664,-0.061578696957812984,-0.005321594094790799
IMZW7_1_WAT1,NH...O,0.024686619999999992,0.024483860000000024,-0.00020275999999996852,-0.02468663,-0.024483860000000017,0.12539722623147487,0.14407027665583216,0.005527479953231995,-0.10410369624516969
IMZW7_1_WAT2,CH...O(C3),-9.817000000000853e-05,-0.00010135999999993928,-3.1899999999307482e-06,9.815999999999298e-05,0.0001013600000000156,-0.17043540096422838,-0.15102515240971515,-0.13747678360806093,0.0031174043162023324
IMZW7_1_WAT3,OH...N3,-0.03909343000000004,-0.039852839999999945,-0.0007594099999999049,0.039093440000000035,0.03985284999999998,-0.6299591455482512,-0.6316687323590848,-0.30065033118279577,0.26141611707932144
IMZW7_1_WAT4,CH...O(C3),-3.3699999999969865e-05,-3.744000000005521e-05,-3.7400000000853417e-06,3.370999999998542e-05,3.7429999999963326e-05,-0.1481799617031785,-0.15880451286157027,-0.12385003887309641,0.06949309744849053
IMZW7_1_WAT5,OH...pi(N9),-4.309999999951852e-06,-5.4099999999279724e-06,-1.09999999997612e-06,4.320000000015978e-06,5.410000000025117e-06,-0.04926614531512641,-0.04243200238330358,-0.032848238438780986,-0.018179451471182898
IMZW7_1_WAT6,OH...pi(C1),-0.005014090000000027,-0.0050395399999999535,-2.544999999992692e-05,0.005014089999999999,0.005039560000000012,-0.06751663085732229,-0.12069793328298511,-0.1150979759854961,0.104970475081701
IMZW7_1_WAT7,CH...O(C3),0.00013246000000005642,0.00012894000000002181,-3.5200000000346066e-06,-0.00013246000000002867,-0.00012894000000004263,-0.04691900887697731,-0.060301652427148356,-0.0870681317942559,0.01124038895605281
IMZW8_1_WAT1,CH...O(C3),-1.9960000000041056e-05,-2.29600000000163e-05,-2.9999999999752447e-06,1.9959999999985545e-05,2.294999999998687e-05,-0.0977586969493206,-0.07611225563374469,-0.0718866068354049,-0.03829012609974558
IMZW8_1_WAT2,CH...O(C3),7.996000000004555e-05,7.857999999999477e-05,-1.380000000050785e-06,-7.997999999999339e-05,-7.859999999999118e-05,-0.08116107136145922,-0.0757880842394425,-0.07139501591342381,0.003393884990473439
IMZW8_1_WAT3,CH...O(C3),-1.4370000000041294e-05,-2.421000000002449e-05,-9.839999999983196e-06,1.4379999999994397e-05,2.4200000000001998e-05,0.014612060110996028,0.0022611048878895534,-0.0544885301613211,-0.03657545646187371
IMZW8_1_WAT4,OH...pi(N9),-0.00023814999999999253,-0.00024647000000005415,-8.320000000061611e-06,0.0002381600000000289,0.0002464700000000056,-0.14528507224661535,-0.11673834850164444,-0.08363879251850109,0.020424617618439278
IMZW8_1_WAT5,NH...O,0.01095744000000004,0.01085168000000003,-0.00010576000000001029,-0.010957450000000021,-0.010851670000000015,0.1483034555673024,0.16150230159246393,0.048777440935978356,-0.12242019578549335
IMZW8_1_WAT6,CH...O(C3),0.0007344700000000426,0.0007218599999999631,-1.2610000000079502e-05,-0.0007344799999999888,-0.0007218700000000133,-0.13085498988282773,-0.1144956923922883,-0.08322087120877511,0.0046204150084812046
IMZW8_1_WAT7,noHbond-close(HH-H7),5.656999999997803e-05,5.199000000000176e-05,-4.57999999997627e-06,-5.6560000000007576e-05,-5.197999999999314e-05,0.05631665351268311,0.09188420425674063,0.04711454082971067,-0.11918450593343599
IMZW8_1_WAT8,OH...N3,-0.04253819000000003,-0.04338956000000005,-0.0008513700000000179,0.042538190000000024,0.04338958000000002,-0.6905096054813411,-0.7057058769130515,-0.36541809403874437,0.3189872875319757
