variant,structure,contact_class,ref,band_bind,energy_h0_bind,scc_bind,third_bind,monopole_dipole_bind,dipole_dipole_bind,monopole_quadrupole_bind,dipole_quadrupole_bind,quadrupole_quadrupole_bind,multipole_bind,electronic_total_bind,repulsive_bind,dispersion_bind,total_bind,diff_vs_ref
baseline,IMZW9_1_WAT8,noHbond-close(HH-H7),-0.2472369826864451,30.29563990070309,10.184616251370228,0.5838361951891509,-0.11145471873003342,-0.08546264880486559,0.05877021555569658,-0.04982180495366147,-0.04355643660987821,-0.07810428445915989,-0.19817502202281706,10.458822705806263,-11.075915020592273,-0.18476244627134883,-0.8018545728036908,-0.5546175901172457
baseline,IMZW9_1_WAT9,CH...O(C3),-0.8024659333168529,84.6917008306853,10.28548959159344,0.4711678731362798,-0.07811049680295278,-0.2951935087963427,-0.03709302627608033,0.1899857096315553,0.007605289323750061,-0.20626744695128202,-0.3409630458193464,10.337583922107255,-11.402665353329752,-0.5085269634293638,-1.5736082063985806,-0.7711422730817277
baseline,IMZW10_1_WAT1,CH...O(C3),-1.6550008312624414,-84.50176243526785,13.800332429771164,0.47788881335823064,-0.07673286250359458,-0.22804585350906217,0.07541402584195653,-0.2578267001367281,0.014961331884402171,-0.34673343468998996,-0.7422306306094223,13.459257750016109,-14.628815869114975,-0.599840761574183,-1.7693987551699166,-0.11439792390747527
baseline,IMZW10_1_WAT2,CH...O(C3),-0.941570890659932,40.69687468155415,10.587651530349238,0.4228713554612214,-0.02646188626839906,-0.0959163291332828,0.07083508920971818,-0.21032442120299358,-0.09149634065082413,-0.1455958149382272,-0.47249781671560925,10.511563120074525,-11.531051281685167,-0.38093483455863947,-1.4004228706668662,-0.45885198000693417
baseline,IMZW10_1_WAT3,noHbond-close(H-N3),-0.7017840474727564,93.1706316855707,12.097780125339996,0.8384133375144419,-0.057478048046705275,-0.21221811929382145,0.036380614770177094,-0.2686042381047092,-0.10467510637225534,-0.20909920895488696,-0.758216057955495,12.120499356851571,-12.699457795397185,-0.35685497425378415,-0.9358132245459349,-0.2340291770731785
baseline,IMZW10_1_WAT4,OH...N3,-6.437108650046866,15.675019179818106,9.787571177831339,1.9863843149431646,-1.2278974866496137,-0.4088962174662594,-0.21922708636436888,-0.8069338854914361,-0.13086866958954468,-1.1819925330821066,-2.747918391993716,7.798139551379936,-13.188589444998428,-0.7591516745813224,-6.149601505448047,0.28750714459881976
baseline,IMZW10_1_WAT5,NH...O,-3.6087851047341246,-45.4780298186128,12.010568670381284,-1.1320268402060438,0.7214651498446721,-0.8317380172312552,0.06510755923615384,-1.3305560285760198,-0.19122485258998764,-0.9229425659766409,-3.2113538423868024,8.388653137633053,-12.058551182315675,-0.7113155606073862,-4.381213417036242,-0.7724283123021172
baseline,IMZW10_1_WAT6,OH...pi(C1),-3.12829907858395,-71.90866009111248,10.752783534991849,0.28853506851800453,-0.2592291210603115,-0.09631285236994323,0.11849117071554546,0.2309928262521049,-0.04970063287421966,-0.5157278856480281,-0.31225743667548744,10.469832108525138,-12.584131217710278,-1.0442690127488439,-3.158567996431295,-0.030268917847344756
baseline,IMZW10_1_WAT7,far,-0.0028991810104344,6.392673763575905,10.41525572703735,0.616024168159321,-0.03253347968659114,0.007686489049693621,0.05899957026846675,-0.1277793149468372,-0.019721304999907686,-0.2045326970102333,-0.28534732038976546,10.713399032368855,-11.121554286648447,-0.060452317451869506,-0.4686075089790759,-0.4657083279686415
baseline,IMZW10_1_WAT8,far,0.5603553811670281,36.93429643684699,10.517790775099213,0.7252701790425472,-0.053529193677373826,0.008325105441447699,0.044078775496088456,0.07812511777369827,0.02570692962015347,-0.07911225292734854,0.07712373815498816,11.266655561369914,-11.12611897881564,-0.07431638626992496,0.06622032178666952,-0.49413505938035857
