eval,key,objective,RMSE,diff_mean,mean_error,diff_std,pearson_r,slope,slope_error,intercept,elapsed_s,D_H,D_C,D_N,D_O,Q_H,Q_C,Q_N,Q_O,error
53,863dc49bc8cb,1.4639432450121739,0.5314204441124123,-0.33848360478381884,0.33848360478381884,0.41286678676657135,0.9820744285452806,0.9721615637428394,0.027838436257160648,-0.40059669128312286,0.5467946529388428,2.4996332716163634,1.0775039536275433,0.791429449948148,0.16374225647195922,3.914855054991167,2.6,3.4,3.0,
54,2962ab312f75,1.4639432450121739,0.5314204441124123,-0.33848360478381884,0.33848360478381884,0.41286678676657135,0.9820744285452806,0.9721615637428394,0.027838436257160648,-0.40059669128312286,0.5462765693664551,2.4996332716163634,1.0775039536275433,0.791429449948148,0.16374225647195922,3.9473775300143004,2.6,3.4,3.0,
55,7d9111e26a4f,1.4639432450121739,0.5314204441124123,-0.33848360478381884,0.33848360478381884,0.41286678676657135,0.9820744285452806,0.9721615637428394,0.027838436257160648,-0.40059669128312286,0.5473239421844482,2.4996332716163634,1.0775039536275433,0.791429449948148,0.16374225647195922,3.9674775249768666,2.6,3.4,3.0,
56,b5d2a3e90a50,1.4639432450121739,0.5314204441124123,-0.33848360478381884,0.33848360478381884,0.41286678676657135,0.9820744285452806,0.9721615637428394,0.027838436257160648,-0.40059669128312286,0.5431993007659912,2.4996332716163634,1.0775039536275433,0.791429449948148,0.16374225647195922,3.979900005037434,2.6,3.4,3.0,
57,6ebe3cc598a0,1.4639432450121739,0.5314204441124123,-0.33848360478381884,0.33848360478381884,0.41286678676657135,0.9820744285452806,0.9721615637428394,0.027838436257160648,-0.40059669128312286,0.5418167114257812,2.4996332716163634,1.0775039536275433,0.791429449948148,0.16374225647195922,3.9875775199394323,2.6,3.4,3.0,
58,67775941f7df,1.4639432450121739,0.5314204441124123,-0.33848360478381884,0.33848360478381884,0.41286678676657135,0.9820744285452806,0.9721615637428394,0.027838436257160648,-0.40059669128312286,0.543938159942627,2.4996332716163634,1.0775039536275433,0.791429449948148,0.16374225647195922,3.9923224850980015,2.6,3.4,3.0,
59,d91789138b32,1.4639432450121739,0.5314204441124123,-0.33848360478381884,0.33848360478381884,0.41286678676657135,0.9820744285452806,0.9721615637428394,0.027838436257160648,-0.40059669128312286,0.5462267398834229,2.4996332716163634,1.0775039536275433,0.791429449948148,0.16374225647195922,3.9952550348414313,2.6,3.4,3.0,
60,33c34a96ba19,1.4639432450121739,0.5314204441124123,-0.33848360478381884,0.33848360478381884,0.41286678676657135,0.9820744285452806,0.9721615637428394,0.027838436257160648,-0.40059669128312286,0.5414509773254395,2.4996332716163634,1.0775039536275433,0.791429449948148,0.16374225647195922,3.9970674502565706,2.6,3.4,3.0,
61,18da48ba30ef,1.4639432450121739,0.5314204441124123,-0.33848360478381884,0.33848360478381884,0.41286678676657135,0.9820744285452806,0.9721615637428394,0.027838436257160648,-0.40059669128312286,0.5484650135040283,2.4996332716163634,1.0775039536275433,0.791429449948148,0.16374225647195922,3.9981875845848607,2.6,3.4,3.0,
62,5b7250232ee5,1.4639432450121739,0.5314204441124123,-0.33848360478381884,0.33848360478381884,0.41286678676657135,0.9820744285452806,0.9721615637428394,0.027838436257160648,-0.40059669128312286,0.5384023189544678,2.4996332716163634,1.0775039536275433,0.791429449948148,0.16374225647195922,3.9988798656717095,2.6,3.4,3.0,
63,937db64a7085,1.4639432450121739,0.5314204441124123,-0.33848360478381884,0.33848360478381884,0.41286678676657135,0.9820744285452806,0.9721615637428394,0.027838436257160648,-0.40059669128312286,0.5399742126464844,2.4996332716163634,1.0775039536275433,0.791429449948148,0.16374225647195922,3.9993077189131507,2.6,3.4,3.0,
64,17318c17b29c,1.4639432450121739,0.5314204441124123,-0.33848360478381884,0.33848360478381884,0.41286678676657135,0.9820744285452806,0.9721615637428394,0.027838436257160648,-0.40059669128312286,0.5391592979431152,2.4996332716163634,1.0775039536275433,0.791429449948148,0.16374225647195922,3.9996410967334066,2.6,3.4,3.0,
