Phase,Run,Method,BSSE,Ebind_1Zn_0MIm_4MeOH,Ebind_1Zn_1MIm_3MeOH,Ebind_1Zn_2MIm_2MeOH,Ebind_1Zn_3MIm_1MeOH,Ebind_1Zn_4MIm_0MeOH,dE_0_1,dE_1_2,dE_2_3,dE_3_4,E_Zn,E_MIm,E_MeOH,E_1Zn_0MIm_4MeOH,E_1Zn_1MIm_3MeOH,E_1Zn_2MIm_2MeOH,E_1Zn_3MIm_1MeOH,E_1Zn_4MIm_0MeOH
SP_init,run1,DFTB3-D3,no,-330.5147999999972,-544.5565999999999,-680.8473999999987,-736.4622999999992,-723.1821999999956,-214.04179999999906,-136.2908000000025,-55.61490000000049,13.280100000003586,-2077.4512,-8492.2037,-4091.3672,-18773.4348,-23388.3131,-27925.4404,-32381.8918,-36769.4482
SP_init,run2,DFTB3-D3H5,no,-334.30739999999787,-547.7439999999988,-683.7930000000015,-739.4861000000019,-725.4868999999962,-213.43659999999727,-136.0490000000027,-55.69310000000405,13.999199999998382,-2077.4512,-8489.5554,-4090.2021,-18772.567,-23385.3569,-27920.7592,-32375.8056,-36761.1597
SP_opt,run27,g-xTB,no,-321.4730952407699,-526.0743218935095,-653.2624441832304,-707.7183021409437,-694.2693461608142,-204.60122665273957,-127.18812228995375,-54.45585795794614,13.44895598012954,-1115903.9910432766,-166273.1015836257,-72618.55274851079,-1406699.6751325605,-1500558.825194328,-1594340.5621517329,-1688049.5668448056,-1781690.6667239403
SP_init,run27,g-xTB,no,-321.04928222484887,-524.677333000116,-650.1375763562974,-704.6510070438962,-692.8118219927419,-203.62805077526718,-125.46024335618131,-54.513430687831715,11.839185051154345,-1115903.9910432766,-166271.38571140944,-72618.3104918206,-1406698.2822927837,-1500554.9855631478,-1594333.5210260928,-1688041.1096763695,-1781682.3457109071
SP_init,run16,PBE-D3(BJ) def2-TZVPPD,no,-327.8586999999825,-531.3898000000045,-658.5220000001136,-707.5337000000291,-691.6766999999527,-203.53109999978915,-127.13219999987632,-49.011699999915436,15.857000000076368,-1115780.2323,-166136.2102,-72563.0532,-1406360.3038,-1500136.9919,-1593837.2811,-1687459.4498,-1781016.7498
SP_init,run13,M06L-D3 def2-TZVPPD DEFGRID3,no,-314.689500000095,-518.0907000000589,-647.4646000002977,-697.0338999999221,-681.289000000339,-203.4012000001967,-129.3739000002388,-49.56930000009015,15.74489999981597,-1115930.8238,-166306.237,-72636.3722,-1406791.0021,-1500664.2681,-1594463.5068,-1688182.9409,-1781837.0608
SP_init,run16,PBE-D3(BJ) def2-TZVPPD,yes,-326.23420000006445,-529.1142000001855,-655.6533000001218,-703.971400000155,-687.3389000000898,-202.87999999988824,-126.53909999970347,-48.318100000033155,16.632500000065193,-1115780.2323,-166136.2102,-72563.0532,-1406358.6793000002,-1500134.7163000002,-1593834.4124,-1687455.8875000002,-1781012.4120000002
SP_init,run13,M06L-D3 def2-TZVPPD DEFGRID3,yes,-311.95959999994375,-514.6103999998886,-643.3309000001755,-692.0522999998648,-675.3548000003211,-202.6508000001777,-128.72050000028685,-48.72140000015497,16.697499999776483,-1115930.8238,-166306.237,-72636.3722,-1406788.2721999998,-1500660.7877999998,-1594459.3731,-1688177.9593,-1781831.1266
SP_init,run14,M06L-D3 def2-SVPD DEFGRID3,no,-319.3381000000518,-521.964199999813,-651.6304999999702,-702.8793999997433,-689.4779999998864,-202.62609999999404,-129.66629999992438,-51.24890000000596,13.401399999856949,-1115778.147,-166132.3866,-72555.6333,-1406320.0183,-1500099.3977,-1593805.8173,-1687433.8195,-1780997.1714
SP_init,run14,M06L-D3 def2-SVPD DEFGRID3,yes,-311.6870000001509,-512.6619999997783,-640.4828000001144,-689.8901999997906,-674.4853000000585,-200.9749999998603,-127.82080000010319,-49.4073999999091,15.404899999732152,-1115778.147,-166132.3866,-72555.6333,-1406312.3672000002,-1500090.0955,-1593794.6696000001,-1687420.8303,-1780982.1787000003
SP_init,run23,B3LYP def2-TZVPPD D3BJ AutoAux,no,-328.97139999992214,-529.6910999999382,-656.0442000001203,-705.8933999999426,-690.9411999997683,-200.71970000001602,-126.3530999997165,-49.849199999822304,14.952200000174344,-1115911.7408,-166243.5597,-72613.5857,-1406695.055,-1500525.7487,-1594282.0758,-1687961.899,-1781576.9208
SP_init,run23,B3LYP def2-TZVPPD D3BJ AutoAux,yes,-327.3330999999307,-527.439000000013,-653.2417000001296,-702.4649000000209,-686.8254999998026,-200.10590000008233,-125.80269999965094,-49.22319999989122,15.639400000218302,-1115911.7408,-166243.5597,-72613.5857,-1406693.4167,-1500523.4966000002,-1594279.2733,-1687958.4705,-1781572.8051
SP_init,run22,RI-MP2 RIJCOSX def2-TZVPPD def2-TZVPPD/C AutoAux,no,-315.6959999999963,-515.4248999997508,-643.2378000000026,-695.531799999997,-683.1957999998704,-199.72889999998733,-127.812900000019,-52.29400000022724,12.33600000012666,-1115496.7383,-165945.5097,-72493.1222,-1405784.9231,-1499437.0395,-1593017.2399,-1686521.9214,-1779961.9729
SP_init,run24,DLPNO-CCSD(T) RIJCOSX def2-TZVPPD def2-TZVPPD/C AutoAux,no,-312.644391174661,-512.247916232096,-639.2754887354095,-690.9378915489651,-677.3860400943086,-199.60352505766787,-127.02757250331342,-51.6624028137885,13.551851454656571,-1115458.7923789562,-165984.92827739404,-72513.99850439433,-1405827.4307877081,-1499497.9640857654,-1593095.9214312683,-1686618.5136070817,-1780075.8915286267
SP_init,run24,DLPNO-CCSD(T) RIJCOSX def2-TZVPPD def2-TZVPPD/C AutoAux,yes,-304.95583528326824,-502.9120028251782,-628.2792628037278,-678.4671560858842,-663.5722787634004,-197.9561675421428,-125.36725997854955,-50.18789328238927,14.894877322483808,-1115458.7923789562,-165984.92827739404,-72513.99850439433,-1405819.7422318168,-1499488.6281723585,-1593084.9252053367,-1686606.0428716186,-1780062.0777672958
SP_init,run22,RI-MP2 RIJCOSX def2-TZVPPD def2-TZVPPD/C AutoAux,yes,-307.86410000012256,-505.6726999997627,-631.3989999999758,-681.7449000000488,-667.2571000000462,-197.80859999987297,-125.72629999998026,-50.345900000305846,14.487800000002608,-1115496.7383,-165945.5097,-72493.1222,-1405777.0912000001,-1499427.2873,-1593005.4011,-1686508.1345000002,-1779946.0342
SP_init,run5,MM OPC,no,-235.84750000000003,-413.30550000000005,-541.7206,-603.2424,-602.5941,-177.45800000000003,-128.4151,-61.521799999999985,0.6482999999999493,0.0,15.8579,5.8642,-212.3907,-379.855,-498.2764,-549.8045,-539.1625
SP_init,run0,MM,no,-229.63139999999999,-405.9684,-533.6089,-595.7349,-596.1476,-176.33700000000002,-127.64050000000003,-62.12600000000009,-0.41269999999997253,0.0,15.8579,5.8642,-206.1746,-372.5179,-490.1647,-542.297,-532.716
