Phase,Run,Method,BSSE,Complex_with_imh,Complex_without_imh,scan_value,E_with_imh,E_without_imh,dE_with_minus_without,dE_shifted_to_min
SP_init,run0,MM,no,1Zn_1ImH_6Wat_2Hbond,1ImH_6Wat_2Hbond,0.2,-324.1366,95.1408,-419.2774,3.9985000000000355
SP_init,run0,MM,no,1Zn_1ImH_6Wat_2Hbond,1ImH_6Wat_2Hbond,0.5,-320.0234,95.9888,-416.0122,7.2637000000000285
SP_init,run0,MM,no,1Zn_1ImH_6Wat_2Hbond,1ImH_6Wat_2Hbond,1.0,-313.5018,98.2004,-411.7022,11.57370000000003
SP_init,run0,MM,no,1Zn_1ImH_6Wat_2Hbond,1ImH_6Wat_2Hbond,1.5,-308.6024,99.8857,-408.4881,14.787800000000061
SP_init,run0,MM,no,1Zn_1ImH_6Wat_2Hbond,1ImH_6Wat_2Hbond,2.0,-305.0821,100.8866,-405.9687,17.307200000000023
SP_init,run0,MM,no,1Zn_1ImH_6Wat_2Hbond,1ImH_6Wat_2Hbond,2.5,-302.4442,101.5583,-404.00250000000005,19.27339999999998
SP_init,run0,MM,no,1Zn_1ImH_6Wat_2Hbond,1ImH_6Wat_2Hbond,3.0,-300.4317,101.9706,-402.40229999999997,20.873600000000067
SP_init,run0,MM,no,1Zn_1ImH_6Wat_2Hbond,1ImH_6Wat_2Hbond,4.0,-297.5455,102.4847,-400.03020000000004,23.2457
SP_init,run0,MM,no,1Zn_1ImH_6Wat_2Hbond,1ImH_6Wat_2Hbond,5.0,-295.5659,102.8058,-398.37170000000003,24.904200000000003
SP_init,run0,MM,no,1Zn_1ImH_6Wat_2Hbond,1ImH_6Wat_2Hbond,6.0,-294.2206,102.9422,-397.1628,26.11310000000003
SP_init,run0,MM,no,1Zn_1ImH_6Wat_2Hbond,1ImH_6Wat_2Hbond,7.0,-293.2128,103.0425,-396.25530000000003,27.0206
SP_init,run0,MM,no,1Zn_1ImH_6Wat_2Hbond,1ImH_6Wat_2Hbond,8.0,-292.4538,103.1034,-395.55719999999997,27.71870000000007
SP_init,run0,MM,no,1Zn_1ImH_6Wat_2Hbond,1ImH_6Wat_2Hbond,9.0,-291.8763,103.1299,-395.00620000000004,28.2697
SP_init,run110,mDFTB3D3/optimized_run59 all QM,no,1Zn_1ImH_6Wat_2Hbond,1ImH_6Wat_2Hbond,-0.1,-24705.8353,-22132.8475,-2572.987799999999,0.0
SP_init,run110,mDFTB3D3/optimized_run59 all QM,no,1Zn_1ImH_6Wat_2Hbond,1ImH_6Wat_2Hbond,0.0,-24706.4832,-22136.1444,-2570.3387999999977,2.6490000000012515
SP_init,run110,mDFTB3D3/optimized_run59 all QM,no,1Zn_1ImH_6Wat_2Hbond,1ImH_6Wat_2Hbond,0.1,-24705.9885,-22138.1402,-2567.848299999998,5.139500000001135
SP_init,run110,mDFTB3D3/optimized_run59 all QM,no,1Zn_1ImH_6Wat_2Hbond,1ImH_6Wat_2Hbond,0.2,-24704.7342,-22139.3297,-2565.4045000000006,7.583299999998417
SP_init,run110,mDFTB3D3/optimized_run59 all QM,no,1Zn_1ImH_6Wat_2Hbond,1ImH_6Wat_2Hbond,0.5,-24699.0171,-22139.9375,-2559.079600000001,13.908199999998033
SP_init,run110,mDFTB3D3/optimized_run59 all QM,no,1Zn_1ImH_6Wat_2Hbond,1ImH_6Wat_2Hbond,1.0,-24690.0684,-22138.2538,-2551.8146000000015,21.17319999999745
SP_init,run110,mDFTB3D3/optimized_run59 all QM,no,1Zn_1ImH_6Wat_2Hbond,1ImH_6Wat_2Hbond,1.5,-24684.0808,-22136.7944,-2547.286400000001,25.701399999998102
SP_init,run110,mDFTB3D3/optimized_run59 all QM,no,1Zn_1ImH_6Wat_2Hbond,1ImH_6Wat_2Hbond,2.0,-24679.8582,-22135.8615,-2543.9966999999997,28.99109999999928
SP_init,run110,mDFTB3D3/optimized_run59 all QM,no,1Zn_1ImH_6Wat_2Hbond,1ImH_6Wat_2Hbond,2.5,-24676.6798,-22135.1765,-2541.5033000000003,31.48449999999866
SP_init,run110,mDFTB3D3/optimized_run59 all QM,no,1Zn_1ImH_6Wat_2Hbond,1ImH_6Wat_2Hbond,3.0,-24674.2559,-22134.7244,-2539.531500000001,33.45629999999801
SP_init,run110,mDFTB3D3/optimized_run59 all QM,no,1Zn_1ImH_6Wat_2Hbond,1ImH_6Wat_2Hbond,4.0,-24670.8682,-22134.1759,-2536.6923000000024,36.29549999999654
SP_init,run110,mDFTB3D3/optimized_run59 all QM,no,1Zn_1ImH_6Wat_2Hbond,1ImH_6Wat_2Hbond,5.0,-24668.6582,-22133.8746,-2534.7836000000025,38.20419999999649
SP_init,run110,mDFTB3D3/optimized_run59 all QM,no,1Zn_1ImH_6Wat_2Hbond,1ImH_6Wat_2Hbond,6.0,-24667.174,-22133.7477,-2533.426299999999,39.561499999999796
SP_init,run110,mDFTB3D3/optimized_run59 all QM,no,1Zn_1ImH_6Wat_2Hbond,1ImH_6Wat_2Hbond,7.0,-24666.0856,-22133.6558,-2532.429799999998,40.5580000000009
SP_init,run110,mDFTB3D3/optimized_run59 all QM,no,1Zn_1ImH_6Wat_2Hbond,1ImH_6Wat_2Hbond,8.0,-24665.2639,-22133.5895,-2531.6744000000035,41.313399999995454
SP_init,run110,mDFTB3D3/optimized_run59 all QM,no,1Zn_1ImH_6Wat_2Hbond,1ImH_6Wat_2Hbond,9.0,-24664.6464,-22133.5608,-2531.085600000002,41.90219999999681
SP_init,run111,"mDFTB3D3/optimized_run59 QM-Zn,IMH",no,1Zn_1ImH_6Wat_2Hbond,1ImH_6Wat_2Hbond,-0.1,-9555.0022,-7043.9132,-2511.089000000001,0.0
SP_init,run41,M052X aug-cc-pVTZ D3ZERO RIJCOSX AutoAux VERYTIGHTSCF DEFGRID3 PCDTrimAuxJ NoAutoStart,no,1Zn_1ImH_6Wat_2Hbond,1ImH_6Wat_2Hbond,-0.1,-1546176.603,-429812.8042,-1116363.7988,0.0
SP_init,run41,M052X aug-cc-pVTZ D3ZERO RIJCOSX AutoAux VERYTIGHTSCF DEFGRID3 PCDTrimAuxJ NoAutoStart,no,1Zn_1ImH_6Wat_2Hbond,1ImH_6Wat_2Hbond,0.0,-1546177.0339,-429815.3225,-1116361.7114,2.087400000076741
SP_init,run41,M052X aug-cc-pVTZ D3ZERO RIJCOSX AutoAux VERYTIGHTSCF DEFGRID3 PCDTrimAuxJ NoAutoStart,no,1Zn_1ImH_6Wat_2Hbond,1ImH_6Wat_2Hbond,0.1,-1546176.5593,-429816.845,-1116359.7143,4.084499999880791
SP_init,run41,M052X aug-cc-pVTZ D3ZERO RIJCOSX AutoAux VERYTIGHTSCF DEFGRID3 PCDTrimAuxJ NoAutoStart,no,1Zn_1ImH_6Wat_2Hbond,1ImH_6Wat_2Hbond,0.2,-1546175.5391,-429817.815,-1116357.7241,6.074699999997392
SP_init,run41,M052X aug-cc-pVTZ D3ZERO RIJCOSX AutoAux VERYTIGHTSCF DEFGRID3 PCDTrimAuxJ NoAutoStart,no,1Zn_1ImH_6Wat_2Hbond,1ImH_6Wat_2Hbond,0.5,-1546170.4038,-429818.1988,-1116352.205,11.593799999915063
SP_init,run41,M052X aug-cc-pVTZ D3ZERO RIJCOSX AutoAux VERYTIGHTSCF DEFGRID3 PCDTrimAuxJ NoAutoStart,no,1Zn_1ImH_6Wat_2Hbond,1ImH_6Wat_2Hbond,1.0,-1546160.4478,-429815.8757,-1116344.5721,19.226699999999255
SP_init,run41,M052X aug-cc-pVTZ D3ZERO RIJCOSX AutoAux VERYTIGHTSCF DEFGRID3 PCDTrimAuxJ NoAutoStart,no,1Zn_1ImH_6Wat_2Hbond,1ImH_6Wat_2Hbond,1.5,-1546152.5769,-429813.5586,-1116339.0183,24.780499999877065
SP_init,run41,M052X aug-cc-pVTZ D3ZERO RIJCOSX AutoAux VERYTIGHTSCF DEFGRID3 PCDTrimAuxJ NoAutoStart,no,1Zn_1ImH_6Wat_2Hbond,1ImH_6Wat_2Hbond,2.0,-1546147.0473,-429812.0515,-1116334.9958,28.803000000072643
SP_init,run41,M052X aug-cc-pVTZ D3ZERO RIJCOSX AutoAux VERYTIGHTSCF DEFGRID3 PCDTrimAuxJ NoAutoStart,no,1Zn_1ImH_6Wat_2Hbond,1ImH_6Wat_2Hbond,2.5,-1546143.2348,-429811.1331,-1116332.1017,31.697099999990314
SP_init,run41,M052X aug-cc-pVTZ D3ZERO RIJCOSX AutoAux VERYTIGHTSCF DEFGRID3 PCDTrimAuxJ NoAutoStart,no,1Zn_1ImH_6Wat_2Hbond,1ImH_6Wat_2Hbond,3.0,-1546140.5601,-429810.6086,-1116329.9515,33.8473000000231
SP_init,run41,M052X aug-cc-pVTZ D3ZERO RIJCOSX AutoAux VERYTIGHTSCF DEFGRID3 PCDTrimAuxJ NoAutoStart,no,1Zn_1ImH_6Wat_2Hbond,1ImH_6Wat_2Hbond,4.0,-1546137.1275,-429810.0741,-1116327.0533999999,36.74540000013076
SP_init,run41,M052X aug-cc-pVTZ D3ZERO RIJCOSX AutoAux VERYTIGHTSCF DEFGRID3 PCDTrimAuxJ NoAutoStart,no,1Zn_1ImH_6Wat_2Hbond,1ImH_6Wat_2Hbond,5.0,-1546134.9939,-429809.7919,-1116325.2019999998,38.59680000017397
