Phase,Run,Method,BSSE,Complex_with_zn,Complex_without_zn,scan_value_with_zn,scan_value_without_zn_reversed,Zn_N_distance,Zn_N_distance_without_zn_reversed,E_with_zn,E_without_zn_reversed,dE_with_zn_minus_without_zn_reversed,dE_shifted_to_xmax
SP_init,run41,M052X D3 aug-cc-pVTZ,no,1Zn_1ImH_6Wat_2Hbond,1ImH_6Wat_2Hbond,0.5,5.0,4.328295895798726,8.828295895827024,-1546170.4038,-429809.7919,-1116360.6119,-42.07299999985844
SP_init,run41,M052X D3 aug-cc-pVTZ,no,1Zn_1ImH_6Wat_2Hbond,1ImH_6Wat_2Hbond,1.0,4.0,4.828295895859111,7.82829589579504,-1546160.4478,-429810.0741,-1116350.3736999999,-31.834799999836832
SP_init,run41,M052X D3 aug-cc-pVTZ,no,1Zn_1ImH_6Wat_2Hbond,1ImH_6Wat_2Hbond,1.5,3.0,5.328295895833635,6.828295895843068,-1546152.5769,-429810.6086,-1116341.9683,-23.429400000022724
SP_init,run41,M052X D3 aug-cc-pVTZ,no,1Zn_1ImH_6Wat_2Hbond,1ImH_6Wat_2Hbond,2.0,2.5,5.828295895808158,6.328295895785606,-1546147.0473,-429811.1331,-1116335.9142,-17.37529999995604
SP_init,run41,M052X D3 aug-cc-pVTZ,no,1Zn_1ImH_6Wat_2Hbond,1ImH_6Wat_2Hbond,2.5,2.0,6.328295895785606,5.828295895808158,-1546143.2348,-429812.0515,-1116331.1833,-12.644399999873713
SP_init,run41,M052X D3 aug-cc-pVTZ,no,1Zn_1ImH_6Wat_2Hbond,1ImH_6Wat_2Hbond,3.0,1.5,6.828295895843068,5.328295895833635,-1546140.5601,-429813.5586,-1116327.0014999998,-8.462599999736995
SP_init,run41,M052X D3 aug-cc-pVTZ,no,1Zn_1ImH_6Wat_2Hbond,1ImH_6Wat_2Hbond,4.0,1.0,7.82829589579504,4.828295895859111,-1546137.1275,-429815.8757,-1116321.2518,-2.7128999999258667
SP_init,run41,M052X D3 aug-cc-pVTZ,no,1Zn_1ImH_6Wat_2Hbond,1ImH_6Wat_2Hbond,5.0,0.5,8.828295895827024,4.328295895798726,-1546134.9939,-429818.1988,-1116316.7950999998,1.7438000002875924
SP_init,run41,M052X D3 aug-cc-pVTZ,no,1Zn_1ImH_6Wat_2Hbond,1ImH_6Wat_2Hbond,6.0,0.2,9.828295895861935,4.028295895837491,-1546133.6217,-429817.815,-1116315.8067,2.7321999999694526
SP_init,run41,M052X D3 aug-cc-pVTZ,no,1Zn_1ImH_6Wat_2Hbond,1ImH_6Wat_2Hbond,7.0,0.1,10.828295895813906,3.9282958957721466,-1546132.6016,-429816.845,-1116315.7566,2.782300000078976
SP_init,run41,M052X D3 aug-cc-pVTZ,no,1Zn_1ImH_6Wat_2Hbond,1ImH_6Wat_2Hbond,8.0,0.0,11.82829589584589,3.828295895824202,-1546131.888,-429815.3225,-1116316.5655,1.9734000000171363
SP_init,run41,M052X D3 aug-cc-pVTZ,no,1Zn_1ImH_6Wat_2Hbond,1ImH_6Wat_2Hbond,9.0,-0.1,12.828295895797863,3.728295895876256,-1546131.3431,-429812.8042,-1116318.5389,0.0
SP_init,run8,mDFTB3D3/3ob_prime,no,1Zn_1ImH_6Wat_2Hbond,1ImH_6Wat_2Hbond,-0.1,9.0,3.728295895876256,12.828295895797863,-24707.7516,-22230.8072,-2476.9444000000003,-34.59149999999863
SP_init,run8,mDFTB3D3/3ob_prime,no,1Zn_1ImH_6Wat_2Hbond,1ImH_6Wat_2Hbond,0.0,8.0,3.828295895824202,11.82829589584589,-24707.8881,-22230.8117,-2477.0764000000017,-34.72350000000006
SP_init,run8,mDFTB3D3/3ob_prime,no,1Zn_1ImH_6Wat_2Hbond,1ImH_6Wat_2Hbond,0.1,7.0,3.9282958957721466,10.828295895813906,-24706.9612,-22230.8406,-2476.120600000002,-33.76770000000033
SP_init,run8,mDFTB3D3/3ob_prime,no,1Zn_1ImH_6Wat_2Hbond,1ImH_6Wat_2Hbond,0.2,6.0,4.028295895837491,9.828295895861935,-24705.2883,-22230.8875,-2474.4007999999994,-32.04789999999775
SP_init,run8,mDFTB3D3/3ob_prime,no,1Zn_1ImH_6Wat_2Hbond,1ImH_6Wat_2Hbond,0.5,5.0,4.328295895798726,8.828295895827024,-24698.7584,-22230.9295,-2467.8289000000004,-25.47599999999875
SP_init,run8,mDFTB3D3/3ob_prime,no,1Zn_1ImH_6Wat_2Hbond,1ImH_6Wat_2Hbond,1.0,4.0,4.828295895859111,7.82829589579504,-24690.2653,-22231.084,-2459.1813,-16.82839999999851
SP_init,run8,mDFTB3D3/3ob_prime,no,1Zn_1ImH_6Wat_2Hbond,1ImH_6Wat_2Hbond,1.5,3.0,5.328295895833635,6.828295895843068,-24685.7124,-22231.3912,-2454.321200000002,-11.968300000000454
SP_init,run8,mDFTB3D3/3ob_prime,no,1Zn_1ImH_6Wat_2Hbond,1ImH_6Wat_2Hbond,2.0,2.5,5.828295895808158,6.328295895785606,-24682.8416,-22231.6602,-2451.1814000000013,-8.828499999999622
SP_init,run8,mDFTB3D3/3ob_prime,no,1Zn_1ImH_6Wat_2Hbond,1ImH_6Wat_2Hbond,2.5,2.0,6.328295895785606,5.828295895808158,-24680.8537,-22232.0511,-2448.802599999999,-6.449699999997392
SP_init,run8,mDFTB3D3/3ob_prime,no,1Zn_1ImH_6Wat_2Hbond,1ImH_6Wat_2Hbond,3.0,1.5,6.828295895843068,5.328295895833635,-24679.3613,-22232.7274,-2446.6339000000007,-4.28099999999904
SP_init,run8,mDFTB3D3/3ob_prime,no,1Zn_1ImH_6Wat_2Hbond,1ImH_6Wat_2Hbond,4.0,1.0,7.82829589579504,4.828295895859111,-24677.3453,-22233.9664,-2443.3788999999997,-1.025999999998021
SP_init,run8,mDFTB3D3/3ob_prime,no,1Zn_1ImH_6Wat_2Hbond,1ImH_6Wat_2Hbond,5.0,0.5,8.828295895827024,4.328295895798726,-24676.0782,-22236.2407,-2439.8375000000015,2.515400000000227
SP_init,run8,mDFTB3D3/3ob_prime,no,1Zn_1ImH_6Wat_2Hbond,1ImH_6Wat_2Hbond,6.0,0.2,9.828295895861935,4.028295895837491,-24675.2595,-22236.7088,-2438.5507,3.8022000000019034
SP_init,run8,mDFTB3D3/3ob_prime,no,1Zn_1ImH_6Wat_2Hbond,1ImH_6Wat_2Hbond,7.0,0.1,10.828295895813906,3.9282958957721466,-24674.6518,-22235.9543,-2438.6974999999984,3.655400000003283
SP_init,run8,mDFTB3D3/3ob_prime,no,1Zn_1ImH_6Wat_2Hbond,1ImH_6Wat_2Hbond,8.0,0.0,11.82829589584589,3.828295895824202,-24674.2029,-22234.3576,-2439.845300000001,2.5076000000008207
SP_init,run8,mDFTB3D3/3ob_prime,no,1Zn_1ImH_6Wat_2Hbond,1ImH_6Wat_2Hbond,9.0,-0.1,12.828295895797863,3.728295895876256,-24673.8728,-22231.5199,-2442.3529000000017,0.0
